metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,6818,4812,2006,93369.10,92369.10,340898.00,0.2710,50.00,1528.00
WR_DELTA,10,6812,4807,2005,93253.60,92253.60,340598.00,0.2709,50.00,1528.00
WR_DELTA,15,6804,4803,2001,93335.50,92335.50,340200.00,0.2714,50.00,1478.00
WR_DELTA,20,6794,4798,1996,93471.00,92471.00,339700.00,0.2722,50.00,1478.00
WR_DELTA,25,6777,4794,1983,94012.00,93012.00,338850.00,0.2745,50.00,1478.00
WR_DELTA,30,6762,4784,1978,93842.00,92842.00,338100.00,0.2746,50.00,1478.00
WR_DELTA,35,6737,4771,1966,93728.00,92728.00,336850.00,0.2753,50.00,1428.00
WR_DELTA,40,6706,4757,1949,94018.50,93018.50,335300.00,0.2774,50.00,1378.00
WR_DELTA,45,6668,4734,1934,93980.50,92980.50,333400.00,0.2789,50.00,1438.00
WR_DELTA,50,6611,4702,1909,93922.50,92922.50,330550.00,0.2811,50.00,1388.00
WR_DELTA,75,6192,4437,1755,90197.00,89197.00,309600.00,0.2881,50.00,1448.50
WR_DELTA,100,5411,3922,1489,82332.00,81332.00,270550.00,0.3006,50.00,1341.50
WR_DELTA,125,151,77,74,0.00,-1000.00,7437.49,-0.1345,50.00,1368.00
WR_DELTA,150,3333,2527,806,58060.00,57060.00,166650.00,0.3424,50.00,963.50
WR_DELTA,200,1631,1288,343,33428.00,32428.00,81550.00,0.3976,50.00,557.50
WR_DELTA,250,691,553,138,15214.00,14214.00,34550.00,0.4114,50.00,401.00
WR_DELTA,300,259,220,39,7977.00,6977.00,12950.00,0.5388,50.00,162.00
WR_DELTA,350,77,66,11,3296.50,2296.50,3850.00,0.5965,50.00,119.50
WR_DELTA,400,21,19,2,1589.00,589.00,1050.00,0.5610,50.00,62.50
