metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,1066,833,233,42729.00,41729.00,106600.00,0.3915,100.00,547.00
WR_DELTA,10,1066,833,233,42729.00,41729.00,106600.00,0.3915,100.00,547.00
WR_DELTA,15,1066,833,233,42729.00,41729.00,106600.00,0.3915,100.00,547.00
WR_DELTA,20,1066,833,233,42729.00,41729.00,106600.00,0.3915,100.00,547.00
WR_DELTA,25,1066,833,233,42729.00,41729.00,106600.00,0.3915,100.00,547.00
WR_DELTA,30,1066,833,233,42729.00,41729.00,106600.00,0.3915,100.00,547.00
WR_DELTA,35,1066,833,233,42729.00,41729.00,106600.00,0.3915,100.00,547.00
WR_DELTA,40,1066,833,233,42729.00,41729.00,106600.00,0.3915,100.00,547.00
WR_DELTA,45,1066,833,233,42729.00,41729.00,106600.00,0.3915,100.00,547.00
WR_DELTA,50,1066,833,233,42729.00,41729.00,106600.00,0.3915,100.00,547.00
WR_DELTA,75,1063,833,230,43029.00,42029.00,106300.00,0.3954,100.00,547.00
WR_DELTA,100,1050,823,227,42210.00,41210.00,105000.00,0.3925,100.00,547.00
WR_DELTA,125,1005,793,212,41825.00,40825.00,100500.00,0.4062,100.00,547.00
WR_DELTA,150,912,731,181,40347.00,39347.00,91200.00,0.4314,100.00,623.00
WR_DELTA,200,629,522,107,30342.00,29342.00,62900.00,0.4665,100.00,514.00
WR_DELTA,250,351,294,57,17059.00,16059.00,35100.00,0.4575,100.00,400.00
WR_DELTA,300,147,131,16,9797.00,8797.00,14700.00,0.5984,100.00,300.00
WR_DELTA,350,51,44,7,4306.00,3306.00,5100.00,0.6482,100.00,300.00
WR_DELTA,400,15,13,2,1752.00,752.00,1500.00,0.5013,100.00,125.00
