metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,385,265,120,28360.00,27360.00,38500.00,0.7106,100.00,504.00
WR_DELTA,10,385,265,120,28360.00,27360.00,38500.00,0.7106,100.00,504.00
WR_DELTA,15,385,265,120,28360.00,27360.00,38500.00,0.7106,100.00,504.00
WR_DELTA,20,385,265,120,28360.00,27360.00,38500.00,0.7106,100.00,504.00
WR_DELTA,25,385,265,120,28360.00,27360.00,38500.00,0.7106,100.00,504.00
WR_DELTA,30,385,265,120,28360.00,27360.00,38500.00,0.7106,100.00,504.00
WR_DELTA,35,385,265,120,28360.00,27360.00,38500.00,0.7106,100.00,504.00
WR_DELTA,40,385,265,120,28360.00,27360.00,38500.00,0.7106,100.00,504.00
WR_DELTA,45,385,265,120,28360.00,27360.00,38500.00,0.7106,100.00,504.00
WR_DELTA,50,385,265,120,28360.00,27360.00,38500.00,0.7106,100.00,504.00
WR_DELTA,75,382,265,117,28660.00,27660.00,38200.00,0.7241,100.00,504.00
WR_DELTA,100,376,259,117,27731.00,26731.00,37600.00,0.7109,100.00,504.00
WR_DELTA,125,361,253,108,27844.00,26844.00,36100.00,0.7436,100.00,504.00
WR_DELTA,150,323,236,87,27751.00,26751.00,32300.00,0.8282,100.00,404.00
WR_DELTA,200,217,164,53,19768.00,18768.00,21700.00,0.8649,100.00,400.00
WR_DELTA,250,106,81,25,10753.00,9753.00,10600.00,0.9201,100.00,300.00
WR_DELTA,300,48,40,8,6438.00,5438.00,4800.00,1.1329,100.00,300.00
WR_DELTA,350,22,19,3,3505.00,2505.00,2200.00,1.1386,100.00,100.00
WR_DELTA,400,4,3,1,1428.00,428.00,400.00,1.0700,100.00,100.00
