metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,660,557,103,15409.00,14409.00,66000.00,0.2183,100.00,474.00
WR_DELTA,10,660,557,103,15409.00,14409.00,66000.00,0.2183,100.00,474.00
WR_DELTA,15,660,557,103,15409.00,14409.00,66000.00,0.2183,100.00,474.00
WR_DELTA,20,660,557,103,15409.00,14409.00,66000.00,0.2183,100.00,474.00
WR_DELTA,25,660,557,103,15409.00,14409.00,66000.00,0.2183,100.00,474.00
WR_DELTA,30,660,557,103,15409.00,14409.00,66000.00,0.2183,100.00,474.00
WR_DELTA,35,660,557,103,15409.00,14409.00,66000.00,0.2183,100.00,474.00
WR_DELTA,40,660,557,103,15409.00,14409.00,66000.00,0.2183,100.00,474.00
WR_DELTA,45,660,557,103,15409.00,14409.00,66000.00,0.2183,100.00,474.00
WR_DELTA,50,660,557,103,15409.00,14409.00,66000.00,0.2183,100.00,474.00
WR_DELTA,75,660,557,103,15409.00,14409.00,66000.00,0.2183,100.00,474.00
WR_DELTA,100,654,553,101,15419.00,14419.00,65400.00,0.2205,100.00,474.00
WR_DELTA,125,625,529,96,14821.00,13821.00,62500.00,0.2211,100.00,514.00
WR_DELTA,150,571,485,86,13524.00,12524.00,57100.00,0.2193,100.00,450.00
WR_DELTA,200,400,350,50,11277.00,10277.00,40000.00,0.2569,100.00,260.00
WR_DELTA,250,237,206,31,6796.00,5796.00,23700.00,0.2446,100.00,286.00
WR_DELTA,300,97,89,8,4187.00,3187.00,9700.00,0.3286,100.00,200.00
WR_DELTA,350,29,25,4,1801.00,801.00,2900.00,0.2762,100.00,200.00
WR_DELTA,400,11,10,1,1324.00,324.00,1100.00,0.2945,100.00,100.00
