metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,385,265,120,14680.00,13680.00,19250.00,0.7106,50.00,252.00
WR_DELTA,10,385,265,120,14680.00,13680.00,19250.00,0.7106,50.00,252.00
WR_DELTA,15,385,265,120,14680.00,13680.00,19250.00,0.7106,50.00,252.00
WR_DELTA,20,385,265,120,14680.00,13680.00,19250.00,0.7106,50.00,252.00
WR_DELTA,25,385,265,120,14680.00,13680.00,19250.00,0.7106,50.00,252.00
WR_DELTA,30,385,265,120,14680.00,13680.00,19250.00,0.7106,50.00,252.00
WR_DELTA,35,385,265,120,14680.00,13680.00,19250.00,0.7106,50.00,252.00
WR_DELTA,40,385,265,120,14680.00,13680.00,19250.00,0.7106,50.00,252.00
WR_DELTA,45,385,265,120,14680.00,13680.00,19250.00,0.7106,50.00,252.00
WR_DELTA,50,385,265,120,14680.00,13680.00,19250.00,0.7106,50.00,252.00
WR_DELTA,75,382,265,117,14830.00,13830.00,19100.00,0.7241,50.00,252.00
WR_DELTA,100,376,259,117,14365.50,13365.50,18800.00,0.7109,50.00,252.00
WR_DELTA,125,361,253,108,14422.00,13422.00,18050.00,0.7436,50.00,252.00
WR_DELTA,150,323,236,87,14375.50,13375.50,16150.00,0.8282,50.00,202.00
WR_DELTA,200,217,164,53,10384.00,9384.00,10850.00,0.8649,50.00,200.00
WR_DELTA,250,106,81,25,5876.50,4876.50,5300.00,0.9201,50.00,150.00
WR_DELTA,300,48,40,8,3719.00,2719.00,2400.00,1.1329,50.00,150.00
WR_DELTA,350,22,19,3,2252.50,1252.50,1100.00,1.1386,50.00,50.00
WR_DELTA,400,4,3,1,1214.00,214.00,200.00,1.0700,50.00,50.00
