metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,660,557,103,8204.50,7204.50,33000.00,0.2183,50.00,237.00
WR_DELTA,10,660,557,103,8204.50,7204.50,33000.00,0.2183,50.00,237.00
WR_DELTA,15,660,557,103,8204.50,7204.50,33000.00,0.2183,50.00,237.00
WR_DELTA,20,660,557,103,8204.50,7204.50,33000.00,0.2183,50.00,237.00
WR_DELTA,25,660,557,103,8204.50,7204.50,33000.00,0.2183,50.00,237.00
WR_DELTA,30,660,557,103,8204.50,7204.50,33000.00,0.2183,50.00,237.00
WR_DELTA,35,660,557,103,8204.50,7204.50,33000.00,0.2183,50.00,237.00
WR_DELTA,40,660,557,103,8204.50,7204.50,33000.00,0.2183,50.00,237.00
WR_DELTA,45,660,557,103,8204.50,7204.50,33000.00,0.2183,50.00,237.00
WR_DELTA,50,660,557,103,8204.50,7204.50,33000.00,0.2183,50.00,237.00
WR_DELTA,75,660,557,103,8204.50,7204.50,33000.00,0.2183,50.00,237.00
WR_DELTA,100,654,553,101,8209.50,7209.50,32700.00,0.2205,50.00,237.00
WR_DELTA,125,625,529,96,7910.50,6910.50,31250.00,0.2211,50.00,257.00
WR_DELTA,150,571,485,86,7262.00,6262.00,28550.00,0.2193,50.00,225.00
WR_DELTA,200,400,350,50,6138.50,5138.50,20000.00,0.2569,50.00,130.00
WR_DELTA,250,237,206,31,3898.00,2898.00,11850.00,0.2446,50.00,143.00
WR_DELTA,300,97,89,8,2593.50,1593.50,4850.00,0.3286,50.00,100.00
WR_DELTA,350,29,25,4,1400.50,400.50,1450.00,0.2762,50.00,100.00
WR_DELTA,400,11,10,1,1162.00,162.00,550.00,0.2945,50.00,50.00
