metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,218,81,137,0.00,-1000.00,6470.00,-0.1546,432.14,1330.14
WR_DELTA,10,8916,4471,4445,11325.03,10325.03,33355.00,0.3095,610.00,843.00
WR_DELTA,15,8525,4326,4199,10607.65,9607.65,32235.00,0.2981,377.00,608.00
WR_DELTA,20,8160,4183,3977,9706.66,8706.66,28657.00,0.3038,233.00,375.00
WR_DELTA,25,7809,4033,3776,9294.67,8294.67,26963.00,0.3076,377.00,605.00
WR_DELTA,30,7466,3881,3585,8296.92,7296.92,22291.00,0.3273,233.00,372.00
WR_DELTA,35,7130,3734,3396,8081.11,7081.11,20429.00,0.3466,233.00,372.00
WR_DELTA,40,6778,3586,3192,9127.84,8127.84,22258.00,0.3652,377.00,609.00
WR_DELTA,45,6400,3427,2973,8493.36,7493.36,21067.00,0.3557,377.00,505.12
WR_DELTA,50,6071,3283,2788,7234.00,6234.00,16657.00,0.3743,233.00,376.00
WR_DELTA,75,4597,2597,2000,5065.33,4065.33,10060.00,0.4041,89.00,143.00
WR_DELTA,100,3350,1946,1404,3703.87,2703.87,6141.00,0.4403,55.00,87.00
WR_DELTA,125,2390,1443,947,2942.87,1942.87,4523.00,0.4296,89.00,143.00
WR_DELTA,150,1592,998,594,2309.56,1309.56,2987.00,0.4384,89.00,139.00
WR_DELTA,200,684,461,223,1586.16,586.16,1157.00,0.5066,34.00,52.18
WR_DELTA,250,263,183,80,1224.79,224.79,336.00,0.6690,13.00,20.00
WR_DELTA,300,100,75,25,1102.10,102.10,111.00,0.9198,3.00,4.00
WR_DELTA,350,33,26,7,1032.60,32.60,36.00,0.9056,3.00,4.00
WR_DELTA,400,6,5,1,1006.74,6.74,6.00,1.1233,1.00,1.00
