metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,11667,8690,2977,2082.35,1082.35,13822.00,0.0783,144.00,235.85
WR_DELTA,10,11313,8470,2843,2121.01,1121.01,13344.00,0.0840,144.00,235.45
WR_DELTA,15,10928,8210,2718,2121.23,1121.23,12848.00,0.0873,144.00,235.75
WR_DELTA,20,10514,7937,2577,2137.82,1137.82,12299.00,0.0925,144.00,232.19
WR_DELTA,25,10131,7692,2439,2176.50,1176.50,11779.00,0.0999,144.00,232.39
WR_DELTA,30,9732,7420,2312,2207.47,1207.47,11091.00,0.1089,89.00,144.18
WR_DELTA,35,9388,7198,2190,2224.70,1224.70,10654.00,0.1150,89.00,144.37
WR_DELTA,40,8984,6919,2065,2206.84,1206.84,10181.00,0.1185,89.00,146.01
WR_DELTA,45,8595,6642,1953,2209.58,1209.58,9623.00,0.1257,55.00,90.99
WR_DELTA,50,8225,6380,1845,2201.00,1201.00,9160.00,0.1311,34.00,57.62
WR_DELTA,75,6453,5123,1330,2108.69,1108.69,7063.00,0.1570,21.00,35.85
WR_DELTA,100,4873,3923,950,1907.56,907.56,5292.00,0.1715,21.00,33.79
WR_DELTA,125,3546,2888,658,1719.46,719.46,3761.00,0.1913,8.00,12.00
WR_DELTA,150,2535,2118,417,1567.31,567.31,2660.00,0.2133,5.00,13.03
WR_DELTA,200,1134,981,153,1292.18,292.18,1178.00,0.2480,5.00,8.35
WR_DELTA,250,456,399,57,1120.91,120.91,463.00,0.2611,2.00,3.78
WR_DELTA,300,162,147,15,1050.52,50.52,163.00,0.3099,2.00,2.00
WR_DELTA,350,44,40,4,1015.34,15.34,45.00,0.3409,2.00,2.00
WR_DELTA,400,15,14,1,1005.04,5.04,15.00,0.3360,1.00,1.00
