metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,6818,4812,2006,3223.26,2223.26,8683.00,0.2560,89.00,146.11
WR_DELTA,10,6812,4807,2005,3223.78,2223.78,8671.00,0.2565,89.00,146.11
WR_DELTA,15,6804,4803,2001,3222.89,2222.89,8655.00,0.2568,89.00,146.11
WR_DELTA,20,6794,4798,1996,3222.40,2222.40,8642.00,0.2572,89.00,146.11
WR_DELTA,25,6777,4794,1983,3226.56,2226.56,8612.00,0.2585,89.00,146.11
WR_DELTA,30,6762,4784,1978,3224.66,2224.66,8589.00,0.2590,89.00,146.11
WR_DELTA,35,6737,4771,1966,3233.88,2233.88,8408.00,0.2657,89.00,146.11
WR_DELTA,40,6706,4757,1949,3233.68,2233.68,8381.00,0.2665,89.00,146.11
WR_DELTA,45,6668,4734,1934,3229.20,2229.20,8328.00,0.2677,89.00,146.11
WR_DELTA,50,6611,4702,1909,3220.72,2220.72,8258.00,0.2689,89.00,146.11
WR_DELTA,75,6192,4437,1755,3030.48,2030.48,7535.00,0.2695,55.00,114.92
WR_DELTA,100,5411,3922,1489,3032.10,2032.10,7514.00,0.2704,233.00,369.06
WR_DELTA,125,4404,3240,1164,2554.74,1554.74,5346.00,0.2908,34.00,58.77
WR_DELTA,150,3333,2527,806,2256.63,1256.63,3850.00,0.3264,13.00,23.36
WR_DELTA,200,1631,1288,343,1691.87,691.87,1836.00,0.3768,21.00,37.00
WR_DELTA,250,691,553,138,1296.03,296.03,766.00,0.3865,13.00,19.00
WR_DELTA,300,259,220,39,1146.58,146.58,268.00,0.5469,2.00,2.36
WR_DELTA,350,77,66,11,1047.95,47.95,79.00,0.6070,2.00,2.00
WR_DELTA,400,21,19,2,1011.78,11.78,21.00,0.5610,1.00,1.25
