metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,2711,1563,1148,3090.98,2090.98,5255.00,0.3979,89.00,143.00
WR_DELTA,10,2709,1561,1148,3097.04,2097.04,5276.00,0.3975,89.00,143.00
WR_DELTA,15,2705,1560,1145,3092.91,2092.91,5256.00,0.3982,89.00,143.00
WR_DELTA,20,2704,1560,1144,3093.91,2093.91,5255.00,0.3985,89.00,143.00
WR_DELTA,25,2694,1559,1135,3094.05,2094.05,5218.00,0.4013,89.00,143.00
WR_DELTA,30,2688,1556,1132,3078.09,2078.09,5174.00,0.4016,89.00,143.00
WR_DELTA,35,2673,1550,1123,3046.78,2046.78,4984.00,0.4107,89.00,143.00
WR_DELTA,40,2657,1545,1112,3043.09,2043.09,4942.00,0.4134,89.00,143.00
WR_DELTA,45,2640,1538,1102,3071.07,2071.07,5168.00,0.4007,144.00,206.25
WR_DELTA,50,2619,1528,1091,3022.45,2022.45,4896.00,0.4131,89.00,127.69
WR_DELTA,75,2427,1429,998,2894.95,1894.95,4520.00,0.4192,89.00,125.75
WR_DELTA,100,2100,1252,848,2654.34,1654.34,3821.00,0.4330,55.00,88.00
WR_DELTA,125,1689,1033,656,2496.16,1496.16,4404.00,0.3397,233.00,327.12
WR_DELTA,150,1218,768,450,2347.90,1347.90,4602.00,0.2929,233.00,376.00
WR_DELTA,200,596,403,193,1535.56,535.56,1098.00,0.4878,55.00,88.00
WR_DELTA,250,247,170,77,1219.28,219.28,328.00,0.6685,13.00,20.00
WR_DELTA,300,96,72,24,1098.56,98.56,107.00,0.9211,3.00,4.00
WR_DELTA,350,33,26,7,1032.60,32.60,36.00,0.9056,3.00,4.00
WR_DELTA,400,6,5,1,1006.74,6.74,6.00,1.1233,1.00,1.00
