metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,3875,3108,767,1704.00,704.00,4146.00,0.1698,21.00,39.98
WR_DELTA,10,3871,3105,766,1704.27,704.27,4140.00,0.1701,21.00,39.98
WR_DELTA,15,3867,3102,765,1703.88,703.88,4136.00,0.1702,21.00,39.98
WR_DELTA,20,3858,3097,761,1704.91,704.91,4126.00,0.1708,21.00,40.10
WR_DELTA,25,3852,3094,758,1707.13,707.13,4118.00,0.1717,21.00,40.10
WR_DELTA,30,3843,3087,756,1707.12,707.12,4103.00,0.1723,21.00,40.10
WR_DELTA,35,3835,3081,754,1706.34,706.34,4095.00,0.1725,21.00,40.10
WR_DELTA,40,3820,3072,748,1707.46,707.46,4081.00,0.1734,21.00,40.10
WR_DELTA,45,3800,3056,744,1705.04,705.04,4062.00,0.1736,21.00,40.10
WR_DELTA,50,3764,3034,730,1708.25,708.25,4024.00,0.1760,21.00,40.10
WR_DELTA,75,3554,2878,676,1685.04,685.04,3798.00,0.1804,21.00,40.10
WR_DELTA,100,3120,2551,569,1632.50,632.50,3333.00,0.1898,21.00,39.32
WR_DELTA,125,2565,2114,451,1548.69,548.69,2720.00,0.2017,13.00,25.94
WR_DELTA,150,2003,1688,315,1465.26,465.26,2101.00,0.2214,13.00,23.72
WR_DELTA,200,987,852,135,1256.48,256.48,1020.00,0.2515,5.00,7.78
WR_DELTA,250,420,366,54,1108.99,108.99,426.00,0.2558,2.00,4.29
WR_DELTA,300,153,140,13,1049.35,49.35,154.00,0.3205,2.00,2.00
WR_DELTA,350,43,39,4,1014.73,14.73,44.00,0.3348,2.00,2.00
WR_DELTA,400,15,14,1,1005.04,5.04,15.00,0.3360,1.00,1.00
