metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,21729,13744,7985,23610.70,22610.70,159015.00,0.1422,1165.00,2094.50
WR_DELTA,10,20998,13379,7619,23307.30,22307.30,154185.00,0.1447,1165.00,2094.50
WR_DELTA,15,20191,12958,7233,23237.85,22237.85,146230.00,0.1521,1165.00,2094.50
WR_DELTA,20,19381,12523,6858,22872.90,21872.90,139075.00,0.1573,1165.00,2094.50
WR_DELTA,25,18609,12104,6505,23030.00,22030.00,128295.00,0.1717,445.00,847.60
WR_DELTA,30,17839,11664,6175,22613.05,21613.05,120180.00,0.1798,445.00,715.00
WR_DELTA,35,17132,11284,5848,22309.45,21309.45,114250.00,0.1865,445.00,715.00
WR_DELTA,40,16351,10844,5507,22070.85,21070.85,109295.00,0.1928,445.00,715.00
WR_DELTA,45,15559,10399,5160,21688.50,20688.50,103490.00,0.1999,275.00,441.35
WR_DELTA,50,14825,9978,4847,21361.75,20361.75,96770.00,0.2104,275.00,441.35
WR_DELTA,75,11448,7967,3481,18204.85,17204.85,72840.00,0.2362,445.00,717.65
WR_DELTA,100,8528,6061,2467,15131.65,14131.65,51945.00,0.2721,105.00,206.05
WR_DELTA,125,6147,4468,1679,11684.50,10684.50,37555.00,0.2845,105.00,267.35
WR_DELTA,150,4276,3212,1064,8787.80,7787.80,25690.00,0.3031,170.00,280.80
WR_DELTA,200,1872,1478,394,4914.90,3914.90,10740.00,0.3645,65.00,129.30
WR_DELTA,250,744,600,144,2575.70,1575.70,4235.00,0.3721,105.00,155.00
WR_DELTA,300,272,230,42,1755.45,755.45,1425.00,0.5301,15.00,20.00
WR_DELTA,350,78,67,11,1242.80,242.80,400.00,0.6070,10.00,10.00
WR_DELTA,400,21,19,2,1058.90,58.90,105.00,0.5610,5.00,6.25
