strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,WR_DELTA,5,21586,13383,8203,62.00,278655,277655,2158600,0.1286,2489,100
Flat100,none,any,WR_DELTA,10,20635,12902,7733,62.52,282693,281693,2063500,0.1365,2370,100
Flat100,none,any,WR_DELTA,15,19706,12420,7286,63.03,288585,287585,1970600,0.1459,2223,100
Flat100,none,any,WR_DELTA,20,18842,11960,6882,63.48,291737,290737,1884200,0.1543,2356,100
Flat100,none,any,WR_DELTA,25,17861,11422,6439,63.95,289853,288853,1786100,0.1617,2545,100
Flat100,none,any,WR_DELTA,30,681,370,311,54.33,0,-1000,67569,-0.0148,2674,100
Flat100,none,any,WR_DELTA,35,16064,10419,5645,64.86,284128,283128,1606400,0.1762,2387,100
Flat100,none,any,WR_DELTA,40,15193,9918,5275,65.28,276900,275900,1519300,0.1816,2437,100
Flat100,none,any,WR_DELTA,45,14337,9416,4921,65.68,270564,269564,1433700,0.1880,2046,100
Flat100,none,any,WR_DELTA,50,13529,8956,4573,66.20,268782,267782,1352900,0.1979,1842,100
Flat100,none,any,WR_DELTA,75,9936,6855,3081,68.99,244377,243377,993600,0.2449,1567,100
Flat100,none,any,WR_DELTA,100,6785,4876,1909,71.86,197650,196650,678500,0.2898,1325,100
Flat100,none,any,WR_DELTA,125,4435,3288,1147,74.14,147944,146944,443500,0.3313,1475,100
Flat100,none,any,WR_DELTA,150,2761,2128,633,77.07,104268,103268,276100,0.3740,1222,100
Flat100,none,any,WR_DELTA,200,938,771,167,82.20,44469,43469,93800,0.4634,479,100
Flat100,none,any,WR_DELTA,250,283,240,43,84.81,16151,15151,28300,0.5354,276,100
Flat100,none,any,WR_DELTA,300,70,62,8,88.57,5355,4355,7000,0.6221,200,100
Flat100,none,any,WR_DELTA,350,20,20,0,100.00,2800,1800,2000,0.9000,0,100
Flat100,none,any,WR_DELTA,400,3,3,0,100.00,1140,140,300,0.4667,0,100
Flat100,none,underdog,WR_DELTA,5,9334,4490,4844,48.10,175549,174549,933400,0.1870,2748,100
Flat100,none,underdog,WR_DELTA,10,541,215,326,39.74,0,-1000,54022,-0.0185,3057,100
Flat100,none,underdog,WR_DELTA,15,526,209,317,39.73,0,-1000,52468,-0.0191,3048,100
Flat100,none,underdog,WR_DELTA,20,328,130,198,39.63,0,-1000,32710,-0.0306,3016,100
Flat100,none,underdog,WR_DELTA,25,305,121,184,39.67,0,-1000,30464,-0.0328,2906,100
Flat100,none,underdog,WR_DELTA,30,283,112,171,39.58,0,-1000,28212,-0.0354,2926,100
Flat100,none,underdog,WR_DELTA,35,273,108,165,39.56,0,-1000,27281,-0.0367,2679,100
Flat100,none,underdog,WR_DELTA,40,6403,3278,3125,51.19,165830,164830,640300,0.2574,2145,100
Flat100,none,underdog,WR_DELTA,45,243,96,147,39.51,0,-1000,24238,-0.0413,2206,100
Flat100,none,underdog,WR_DELTA,50,5694,2966,2728,52.09,159336,158336,569400,0.2781,1843,100
Flat100,none,underdog,WR_DELTA,75,4093,2272,1821,55.51,147105,146105,409300,0.3570,1522,100
Flat100,none,underdog,WR_DELTA,100,2678,1572,1106,58.70,117516,116516,267800,0.4351,1757,100
Flat100,none,underdog,WR_DELTA,125,1718,1070,648,62.28,89914,88914,171800,0.5175,1722,100
Flat100,none,underdog,WR_DELTA,150,1021,681,340,66.70,64902,63902,102100,0.6259,1370,100
Flat100,none,underdog,WR_DELTA,200,326,243,83,74.54,28240,27240,32600,0.8356,400,100
Flat100,none,underdog,WR_DELTA,250,98,76,22,77.55,10806,9806,9800,1.0006,300,100
Flat100,none,underdog,WR_DELTA,300,26,22,4,84.62,3953,2953,2600,1.1358,100,100
Flat100,none,underdog,WR_DELTA,350,8,8,0,100.00,2279,1279,800,1.5987,0,100
Flat100,none,underdog,WR_DELTA,400,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,5,157,98,59,62.42,0,-1000,15673,-0.0638,1321,100
Flat100,none,favorite,WR_DELTA,10,11011,8155,2856,74.06,101130,100130,1101100,0.0909,1540,100
Flat100,none,favorite,WR_DELTA,15,10521,7840,2681,74.52,103563,102563,1052100,0.0975,1402,100
Flat100,none,favorite,WR_DELTA,20,10078,7537,2541,74.79,102993,101993,1007800,0.1012,1284,100
Flat100,none,favorite,WR_DELTA,25,9582,7209,2373,75.23,103444,102444,958200,0.1069,1295,100
Flat100,none,favorite,WR_DELTA,30,9143,6909,2234,75.57,103030,102030,914300,0.1116,1095,100
Flat100,none,favorite,WR_DELTA,35,8683,6597,2086,75.98,103447,102447,868300,0.1180,1353,100
Flat100,none,favorite,WR_DELTA,40,8242,6300,1942,76.44,103492,102492,824200,0.1244,1409,100
Flat100,none,favorite,WR_DELTA,45,7780,5986,1794,76.94,103064,102064,778000,0.1312,1434,100
Flat100,none,favorite,WR_DELTA,50,7344,5686,1658,77.42,102884,101884,734400,0.1387,1062,100
Flat100,none,favorite,WR_DELTA,75,5492,4351,1141,79.22,90118,89118,549200,0.1623,945,100
Flat100,none,favorite,WR_DELTA,100,3855,3130,725,81.19,73892,72892,385500,0.1891,695,100
Flat100,none,favorite,WR_DELTA,125,2540,2095,445,82.48,53802,52802,254000,0.2079,567,100
Flat100,none,favorite,WR_DELTA,150,1635,1372,263,83.91,36889,35889,163500,0.2195,803,100
Flat100,none,favorite,WR_DELTA,200,582,505,77,86.77,15931,14931,58200,0.2565,474,100
Flat100,none,favorite,WR_DELTA,250,176,156,20,88.64,5751,4751,17600,0.2699,246,100
Flat100,none,favorite,WR_DELTA,300,44,40,4,90.91,2402,1402,4400,0.3186,100,100
Flat100,none,favorite,WR_DELTA,350,12,12,0,100.00,1521,521,1200,0.4342,0,100
Flat100,none,favorite,WR_DELTA,400,3,3,0,100.00,1140,140,300,0.4667,0,100
Bankroll5pct,none,any,WR_DELTA,5,21586,13383,8203,62.00,26187582,26186582,190128189,0.1377,231100,10000
Bankroll5pct,none,any,WR_DELTA,10,20635,12902,7733,62.52,26628340,26627340,181877513,0.1464,200400,10000
Bankroll5pct,none,any,WR_DELTA,15,19706,12420,7286,63.03,27251778,27250778,173942852,0.1567,177400,10000
Bankroll5pct,none,any,WR_DELTA,20,18842,11960,6882,63.48,27596260,27595260,166180274,0.1661,167400,10000
Bankroll5pct,none,any,WR_DELTA,25,17861,11422,6439,63.95,27447656,27446656,157951722,0.1738,162700,10000
Bankroll5pct,none,any,WR_DELTA,30,16938,10915,6023,64.44,27216612,27215612,150002135,0.1814,153800,10000
Bankroll5pct,none,any,WR_DELTA,35,16064,10419,5645,64.86,26932164,26931164,141912313,0.1898,153800,10000
Bankroll5pct,none,any,WR_DELTA,40,15193,9918,5275,65.28,26221921,26220921,133784492,0.1960,157600,10000
Bankroll5pct,none,any,WR_DELTA,45,14337,9416,4921,65.68,25594615,25593615,125615085,0.2037,143800,10000
Bankroll5pct,none,any,WR_DELTA,50,13529,8956,4573,66.20,25454176,25453176,118704504,0.2144,128400,10000
Bankroll5pct,none,any,WR_DELTA,75,9936,6855,3081,68.99,23132958,23131958,87046699,0.2657,131600,10000
Bankroll5pct,none,any,WR_DELTA,100,6785,4876,1909,71.86,18571048,18570048,59662306,0.3113,80000,10000
Bankroll5pct,none,any,WR_DELTA,125,4435,3288,1147,74.14,13647932,13646932,37604878,0.3629,78500,10000
Bankroll5pct,none,any,WR_DELTA,150,2761,2128,633,77.07,9324437,9323437,22793989,0.4090,51600,10000
Bankroll5pct,none,any,WR_DELTA,200,938,771,167,82.20,3418395,3417395,7194985,0.4750,47900,10000
Bankroll5pct,none,any,WR_DELTA,250,283,240,43,84.81,599569,598569,1082012,0.5532,20000,10000
Bankroll5pct,none,any,WR_DELTA,300,70,62,8,88.57,8060,7060,10306,0.6851,391,390
Bankroll5pct,none,any,WR_DELTA,350,20,20,0,100.00,2388,1388,1585,0.8758,0,116
Bankroll5pct,none,any,WR_DELTA,400,3,3,0,100.00,1072,72,152,0.4692,0,52
Bankroll5pct,none,underdog,WR_DELTA,5,9334,4490,4844,48.10,15980030,15979030,80058138,0.1996,274800,10000
Bankroll5pct,none,underdog,WR_DELTA,10,8880,4312,4568,48.56,16037813,16036813,76092004,0.2108,244000,10000
Bankroll5pct,none,underdog,WR_DELTA,15,8466,4155,4311,49.08,16349735,16348735,72444273,0.2257,245400,10000
Bankroll5pct,none,underdog,WR_DELTA,20,8076,4009,4067,49.64,16638786,16637786,69022220,0.2410,225400,10000
Bankroll5pct,none,underdog,WR_DELTA,25,7636,3817,3819,49.99,16321746,16320746,65356603,0.2497,193900,10000
Bankroll5pct,none,underdog,WR_DELTA,30,7193,3631,3562,50.48,16102326,16101326,61537417,0.2617,180800,10000
Bankroll5pct,none,underdog,WR_DELTA,35,6803,3460,3343,50.86,15781359,15780359,57869663,0.2727,201500,10000
Bankroll5pct,none,underdog,WR_DELTA,40,6403,3278,3125,51.19,15178233,15177233,54179724,0.2801,214500,10000
Bankroll5pct,none,underdog,WR_DELTA,45,6038,3107,2931,51.46,14572063,14571063,50309171,0.2896,203700,10000
Bankroll5pct,none,underdog,WR_DELTA,50,5694,2966,2728,52.09,14523084,14522084,47743039,0.3042,183700,10000
Bankroll5pct,none,underdog,WR_DELTA,75,4093,2272,1821,55.51,13466706,13465706,34627703,0.3889,152200,10000
Bankroll5pct,none,underdog,WR_DELTA,100,2678,1572,1106,58.70,10573222,10572222,22382499,0.4723,97200,10000
Bankroll5pct,none,underdog,WR_DELTA,125,1718,1070,648,62.28,7861584,7860584,13761867,0.5712,74200,10000
Bankroll5pct,none,underdog,WR_DELTA,150,1021,681,340,66.70,5408717,5407717,7960643,0.6793,60900,10000
Bankroll5pct,none,underdog,WR_DELTA,200,326,243,83,74.54,1797906,1796906,2089187,0.8601,40000,10000
Bankroll5pct,none,underdog,WR_DELTA,250,98,76,22,77.55,100455,99455,96346,1.0323,4485,4525
Bankroll5pct,none,underdog,WR_DELTA,300,26,22,4,84.62,4068,3068,2558,1.1991,120,183
Bankroll5pct,none,underdog,WR_DELTA,350,8,8,0,100.00,1847,847,525,1.6127,0,83
Bankroll5pct,none,underdog,WR_DELTA,400,0,0,0,0.00,1000,0,0,0.0000,0,0
Bankroll5pct,none,favorite,WR_DELTA,5,11469,8436,3033,73.55,8496845,8495845,95735047,0.0887,182400,10000
Bankroll5pct,none,favorite,WR_DELTA,10,11011,8155,2856,74.06,8917463,8916463,92531094,0.0964,154000,10000
Bankroll5pct,none,favorite,WR_DELTA,15,10521,7840,2681,74.52,9189816,9188816,89045817,0.1032,140200,10000
Bankroll5pct,none,favorite,WR_DELTA,20,10078,7537,2541,74.79,9142209,9141209,85324471,0.1071,128400,10000
Bankroll5pct,none,favorite,WR_DELTA,25,9582,7209,2373,75.23,9200425,9199425,81386414,0.1130,129500,10000
Bankroll5pct,none,favorite,WR_DELTA,30,9143,6909,2234,75.57,9171431,9170431,78051867,0.1175,109500,10000
Bankroll5pct,none,favorite,WR_DELTA,35,8683,6597,2086,75.98,9221982,9220982,74069175,0.1245,135300,10000
Bankroll5pct,none,favorite,WR_DELTA,40,8242,6300,1942,76.44,9236429,9235429,70331189,0.1313,140900,10000
Bankroll5pct,none,favorite,WR_DELTA,45,7780,5986,1794,76.94,9200444,9199444,66230743,0.1389,143400,10000
Bankroll5pct,none,favorite,WR_DELTA,50,7344,5686,1658,77.42,9192132,9191132,62657434,0.1467,98900,10000
Bankroll5pct,none,favorite,WR_DELTA,75,5492,4351,1141,79.22,7935244,7934244,45621469,0.1739,68800,10000
Bankroll5pct,none,favorite,WR_DELTA,100,3855,3130,725,81.19,6347509,6346509,31758062,0.1998,66100,10000
Bankroll5pct,none,favorite,WR_DELTA,125,2540,2095,445,82.48,4351555,4350555,19675743,0.2211,45200,10000
Bankroll5pct,none,favorite,WR_DELTA,150,1635,1372,263,83.91,2673515,2672515,11746815,0.2275,49400,10000
Bankroll5pct,none,favorite,WR_DELTA,200,582,505,77,86.77,591471,590471,2124034,0.2780,20000,10000
Bankroll5pct,none,favorite,WR_DELTA,250,176,156,20,88.64,10025,9025,32885,0.2745,510,492
Bankroll5pct,none,favorite,WR_DELTA,300,44,40,4,90.91,1981,981,3032,0.3237,83,96
Bankroll5pct,none,favorite,WR_DELTA,350,12,12,0,100.00,1293,293,681,0.4302,0,63
Bankroll5pct,none,favorite,WR_DELTA,400,3,3,0,100.00,1072,72,152,0.4692,0,52
Flat100,4+4,any,WR_DELTA,5,66,33,33,50.00,0,-1000,6532,-0.1531,1411,100
Flat100,4+4,any,WR_DELTA,10,66,33,33,50.00,0,-1000,6532,-0.1531,1411,100
Flat100,4+4,any,WR_DELTA,15,66,33,33,50.00,0,-1000,6532,-0.1531,1411,100
Flat100,4+4,any,WR_DELTA,20,66,33,33,50.00,0,-1000,6532,-0.1531,1411,100
Flat100,4+4,any,WR_DELTA,25,66,33,33,50.00,0,-1000,6532,-0.1531,1411,100
Flat100,4+4,any,WR_DELTA,30,67,34,33,50.75,0,-1000,6619,-0.1511,1411,100
Flat100,4+4,any,WR_DELTA,35,67,34,33,50.75,0,-1000,6619,-0.1511,1411,100
Flat100,4+4,any,WR_DELTA,40,71,36,35,50.70,0,-1000,6836,-0.1463,1411,100
Flat100,4+4,any,WR_DELTA,45,77,39,38,50.65,0,-1000,7662,-0.1305,1411,100
Flat100,4+4,any,WR_DELTA,50,79,40,39,50.63,0,-1000,7861,-0.1272,1411,100
Flat100,4+4,any,WR_DELTA,75,6025,4286,1739,71.14,169654,168654,602450,0.2799,1361,100
Flat100,4+4,any,WR_DELTA,100,4827,3531,1296,73.15,150195,149195,482700,0.3091,956,100
Flat100,4+4,any,WR_DELTA,125,3536,2641,895,74.69,120963,119963,353600,0.3393,879,100
Flat100,4+4,any,WR_DELTA,150,2377,1838,539,77.32,91203,90203,237700,0.3795,728,100
Flat100,4+4,any,WR_DELTA,200,875,718,157,82.06,41871,40871,87500,0.4671,484,100
Flat100,4+4,any,WR_DELTA,250,274,233,41,85.04,15955,14955,27400,0.5458,276,100
Flat100,4+4,any,WR_DELTA,300,70,62,8,88.57,5355,4355,7000,0.6221,200,100
Flat100,4+4,any,WR_DELTA,350,20,20,0,100.00,2800,1800,2000,0.9000,0,100
