strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Pct10,none,<1.2,WR_DELTA,50,674,643,31,95.40,72062,71062,1366878,0.0520,23047,9425
Pct10,none,<1.2,WR_DELTA,100,423,407,16,96.22,18486,17486,296927,0.0589,3908,2217
Pct10,none,<1.2,WR_DELTA,150,245,238,7,97.14,7128,6128,77855,0.0787,783,783
Pct10,none,<1.2,WR_DELTA,200,123,120,3,97.56,2928,1928,20300,0.0950,291,288
Pct10,none,<1.2,WR_DELTA,250,63,61,2,96.83,1601,601,7525,0.0799,117,157
Pct10,none,<1.2,WR_DELTA,300,21,19,2,90.48,983,-17,1955,-0.0086,182,104
Pct10,none,<1.2,WR_DELTA,350,5,4,1,80.00,918,-82,486,-0.1684,102,102
Pct10,none,<1.2,WR_DELTA,400,2,2,0,100.00,1018,18,201,0.0898,0,101
Pct10,none,<1.3,WR_DELTA,50,1524,1386,138,90.94,804393,803393,11134421,0.0722,58500,10000
Pct10,none,<1.3,WR_DELTA,100,935,867,68,92.73,528301,527301,5755196,0.0916,30000,10000
Pct10,none,<1.3,WR_DELTA,150,521,501,20,96.16,340608,339608,2567224,0.1323,10000,10000
Pct10,none,<1.3,WR_DELTA,200,251,242,9,96.41,28854,27854,192926,0.1444,2534,2810
Pct10,none,<1.3,WR_DELTA,250,113,109,4,96.46,4095,3095,22271,0.1390,292,399
Pct10,none,<1.3,WR_DELTA,300,38,35,3,92.11,1293,293,4028,0.0728,185,127
Pct10,none,<1.3,WR_DELTA,350,8,7,1,87.50,982,-18,802,-0.0225,106,106
Pct10,none,<1.3,WR_DELTA,400,4,4,0,100.00,1061,61,409,0.1498,0,104
Pct10,none,<1.4,WR_DELTA,50,2659,2335,324,87.81,2136393,2135393,21194176,0.1008,50100,10000
Pct10,none,<1.4,WR_DELTA,100,1610,1438,172,89.32,1401053,1400053,11446716,0.1223,33300,10000
Pct10,none,<1.4,WR_DELTA,150,892,821,71,92.04,904808,903808,5828657,0.1551,25000,10000
Pct10,none,<1.4,WR_DELTA,200,423,397,26,93.85,331624,330624,1907041,0.1734,14200,10000
Pct10,none,<1.4,WR_DELTA,250,181,170,11,93.92,15039,14039,78469,0.1789,1121,1459
Pct10,none,<1.4,WR_DELTA,300,72,65,7,90.28,2304,1304,9691,0.1346,217,226
Pct10,none,<1.4,WR_DELTA,350,17,16,1,94.12,1328,328,1952,0.1680,122,129
Pct10,none,<1.4,WR_DELTA,400,5,5,0,100.00,1102,102,523,0.1943,0,108
