strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Pct10,none,<1.9,WR_DELTA,50,7909,6044,1865,76.42,10578175,10577175,69524141,0.1521,90200,10000
Pct10,none,<1.9,WR_DELTA,100,4136,3329,807,80.49,7693939,7692939,36619332,0.2101,72100,10000
Pct10,none,<1.9,WR_DELTA,150,1750,1456,294,83.2,3555901,3554901,14137201,0.2515,58000,10000
Pct10,none,<1.9,WR_DELTA,200,613,529,84,86.3,1233820,1232820,4571131,0.2697,47400,10000
Pct10,none,<1.9,WR_DELTA,250,187,165,22,88.24,142312,141312,483927,0.292,12235,10000
Pct10,none,<1.9,WR_DELTA,300,44,40,4,90.91,3794,2794,8507,0.3285,271,356
Pct10,none,<1.9,WR_DELTA,350,12,12,0,100.0,1661,661,1548,0.427,0,156
Pct10,none,<1.9,WR_DELTA,400,3,3,0,100.0,1146,146,310,0.4716,0,108
Pct10,none,<1.8,WR_DELTA,50,6966,5441,1525,78.11,8941039,8940039,61832567,0.1446,76900,10000
Pct10,none,<1.8,WR_DELTA,100,3672,3003,669,81.78,6330644,6329644,32220626,0.1964,56700,10000
Pct10,none,<1.8,WR_DELTA,150,1569,1327,242,84.58,2996584,2995584,12546853,0.2388,33100,10000
Pct10,none,<1.8,WR_DELTA,200,557,488,69,87.61,1037072,1036072,3993079,0.2595,37400,10000
Pct10,none,<1.8,WR_DELTA,250,172,153,19,88.95,75997,74997,265880,0.2821,6612,7322
Pct10,none,<1.8,WR_DELTA,300,43,39,4,90.7,3491,2491,8004,0.3112,250,328
Pct10,none,<1.8,WR_DELTA,350,12,12,0,100.0,1661,661,1548,0.427,0,156
Pct10,none,<1.8,WR_DELTA,400,3,3,0,100.0,1146,146,310,0.4716,0,108
Pct10,none,<1.7,WR_DELTA,50,5949,4733,1216,79.56,6816983,6815983,51887292,0.1314,81100,10000
Pct10,none,<1.7,WR_DELTA,100,3179,2634,545,82.86,4859140,4858140,27659893,0.1756,56700,10000
Pct10,none,<1.7,WR_DELTA,150,1357,1160,197,85.48,2220408,2219408,10660257,0.2082,42800,10000
Pct10,none,<1.7,WR_DELTA,200,488,430,58,88.11,714916,713916,3078902,0.2319,40700,10000
Pct10,none,<1.7,WR_DELTA,250,151,135,16,89.4,29004,28004,125537,0.2231,3126,2794
Pct10,none,<1.7,WR_DELTA,300,39,36,3,92.31,3143,2143,6958,0.3079,225,295
Pct10,none,<1.7,WR_DELTA,350,11,11,0,100.0,1541,541,1343,0.4026,0,145
Pct10,none,<1.7,WR_DELTA,400,3,3,0,100.0,1146,146,310,0.4716,0,108
Pct10,none,<1.6,WR_DELTA,50,4724,3859,865,81.69,4785365,4784365,41033522,0.1166,81500,10000
Pct10,none,<1.6,WR_DELTA,100,2538,2151,387,84.75,3369868,3368868,21868612,0.1541,52700,10000
Pct10,none,<1.6,WR_DELTA,150,1114,973,141,87.34,1598415,1597415,8486142,0.1882,37800,10000
Pct10,none,<1.6,WR_DELTA,200,403,362,41,89.83,451719,450719,2160121,0.2087,24036,10000
Pct10,none,<1.6,WR_DELTA,250,128,116,12,90.62,13425,12425,65345,0.1901,1541,1293
Pct10,none,<1.6,WR_DELTA,300,31,30,1,96.77,2661,1661,5143,0.3231,186,259
Pct10,none,<1.6,WR_DELTA,350,9,9,0,100.0,1362,362,1035,0.3503,0,131
Pct10,none,<1.6,WR_DELTA,400,2,2,0,100.0,1076,76,202,0.3767,0,102
Pct10,none,<1.5,WR_DELTA,50,3520,2976,544,84.55,3271187,3270187,29806599,0.1097,76200,10000
Pct10,none,<1.5,WR_DELTA,100,1909,1666,243,87.27,2211719,2210719,15467210,0.1429,51300,10000
Pct10,none,<1.5,WR_DELTA,150,843,756,87,89.68,982389,981389,5605675,0.1751,33500,10000
Pct10,none,<1.5,WR_DELTA,200,318,291,27,91.51,217734,216734,1054686,0.2055,10000,10000
Pct10,none,<1.5,WR_DELTA,250,98,90,8,91.84,5189,4189,25186,0.1663,454,500
Pct10,none,<1.5,WR_DELTA,300,20,19,1,95.0,1490,490,2405,0.2035,129,145
Pct10,none,<1.5,WR_DELTA,350,6,6,0,100.0,1159,159,625,0.2544,0,111
Pct10,none,<1.5,WR_DELTA,400,1,1,0,100.0,1022,22,100,0.22,0,100
Pct10,none,<1.4,WR_DELTA,50,2361,2049,312,86.79,1556887,1555887,18816984,0.0827,51300,10000
Pct10,none,<1.4,WR_DELTA,100,1305,1168,137,89.5,1099654,1098654,9602905,0.1144,40000,10000
Pct10,none,<1.4,WR_DELTA,150,587,539,48,91.82,433392,432392,2808043,0.154,20000,10000
Pct10,none,<1.4,WR_DELTA,200,213,199,14,93.43,23727,22727,129139,0.176,1354,2286
Pct10,none,<1.4,WR_DELTA,250,71,67,4,94.37,2943,1943,12660,0.1535,268,284
Pct10,none,<1.4,WR_DELTA,300,16,15,1,93.75,1253,253,1764,0.1432,118,122
Pct10,none,<1.4,WR_DELTA,350,5,5,0,100.0,1112,112,514,0.2186,0,107
Pct10,none,<1.4,WR_DELTA,400,1,1,0,100.0,1022,22,100,0.22,0,100
Pct10,none,<1.3,WR_DELTA,50,1332,1204,128,90.39,529313,528313,8741635,0.0604,40800,10000
Pct10,none,<1.3,WR_DELTA,100,752,698,54,92.82,348690,347690,3743808,0.0929,22300,10000
Pct10,none,<1.3,WR_DELTA,150,344,326,18,94.77,47556,46556,359153,0.1296,4331,4631
Pct10,none,<1.3,WR_DELTA,200,131,126,5,96.18,5138,4138,29373,0.1409,293,500
Pct10,none,<1.3,WR_DELTA,250,45,44,1,97.78,1850,850,6211,0.1368,144,180
Pct10,none,<1.3,WR_DELTA,300,11,11,0,100.0,1226,226,1212,0.1864,0,119
Pct10,none,<1.3,WR_DELTA,350,3,3,0,100.0,1040,40,303,0.1336,0,102
Pct10,none,<1.3,WR_DELTA,400,1,1,0,100.0,1022,22,100,0.22,0,100
Pct10,none,<1.2,WR_DELTA,50,597,576,21,96.48,84543,83543,1413517,0.0591,17731,10000
Pct10,none,<1.2,WR_DELTA,100,343,329,14,95.92,9820,8820,134903,0.0654,1233,1060
Pct10,none,<1.2,WR_DELTA,150,167,161,6,96.41,3263,2263,30122,0.0751,318,322
Pct10,none,<1.2,WR_DELTA,200,69,67,2,97.1,1716,716,8439,0.0849,119,169
Pct10,none,<1.2,WR_DELTA,250,23,23,0,100.0,1240,240,2539,0.0943,0,122
Pct10,none,<1.2,WR_DELTA,300,3,3,0,100.0,1019,19,303,0.063,0,102
Pct10,none,<1.2,WR_DELTA,350,2,2,0,100.0,1018,18,201,0.0898,0,101
Pct10,none,<1.2,WR_DELTA,400,0,0,0,0.0,1000,0,0,0.0,0,0
Pct20,none,<1.9,WR_DELTA,50,7909,6044,1865,76.42,10486319,10485319,68811756,0.1524,90200,10000
Pct20,none,<1.9,WR_DELTA,100,4136,3329,807,80.49,7838298,7837298,38068074,0.2059,72100,10000
Pct20,none,<1.9,WR_DELTA,150,1750,1456,294,83.2,3718208,3717208,14933319,0.2489,58000,10000
Pct20,none,<1.9,WR_DELTA,200,613,529,84,86.3,1433639,1432639,5019167,0.2854,47400,10000
Pct20,none,<1.9,WR_DELTA,250,187,165,22,88.24,355534,354534,1347602,0.2631,25027,10000
Pct20,none,<1.9,WR_DELTA,300,44,40,4,90.91,12554,11554,34258,0.3373,1329,2222
Pct20,none,<1.9,WR_DELTA,350,12,12,0,100.0,2691,1691,3999,0.4228,0,476
Pct20,none,<1.9,WR_DELTA,400,3,3,0,100.0,1305,305,640,0.4764,0,231
Pct20,none,<1.8,WR_DELTA,50,6966,5441,1525,78.11,8970646,8969646,62189602,0.1442,76900,10000
Pct20,none,<1.8,WR_DELTA,100,3672,3003,669,81.78,6491828,6490828,34066996,0.1905,56700,10000
Pct20,none,<1.8,WR_DELTA,150,1569,1327,242,84.58,3162492,3161492,13217295,0.2392,33100,10000
Pct20,none,<1.8,WR_DELTA,200,557,488,69,87.61,1244545,1243545,4546486,0.2735,37400,10000
Pct20,none,<1.8,WR_DELTA,250,172,153,19,88.95,284333,283333,1085103,0.2611,17400,10000
Pct20,none,<1.8,WR_DELTA,300,43,39,4,90.7,10694,9694,30630,0.3165,1132,1893
Pct20,none,<1.8,WR_DELTA,350,12,12,0,100.0,2691,1691,3999,0.4228,0,476
Pct20,none,<1.8,WR_DELTA,400,3,3,0,100.0,1305,305,640,0.4764,0,231
Pct20,none,<1.7,WR_DELTA,50,5949,4733,1216,79.56,6871266,6870266,52285422,0.1314,81100,10000
Pct20,none,<1.7,WR_DELTA,100,3179,2634,545,82.86,5011667,5010667,28846364,0.1737,56700,10000
Pct20,none,<1.7,WR_DELTA,150,1357,1160,197,85.48,2394535,2393535,11333612,0.2112,42800,10000
Pct20,none,<1.7,WR_DELTA,200,488,430,58,88.11,927287,926287,3841515,0.2411,40700,10000
Pct20,none,<1.7,WR_DELTA,250,151,135,16,89.4,182502,181502,837022,0.2168,17400,10000
Pct20,none,<1.7,WR_DELTA,300,39,36,3,92.31,8897,7897,25332,0.3118,942,1575
Pct20,none,<1.7,WR_DELTA,350,11,11,0,100.0,2328,1328,3286,0.404,0,412
Pct20,none,<1.7,WR_DELTA,400,3,3,0,100.0,1305,305,640,0.4764,0,231
Pct20,none,<1.6,WR_DELTA,50,4724,3859,865,81.69,4903352,4902352,41783320,0.1173,81500,10000
Pct20,none,<1.6,WR_DELTA,100,2538,2151,387,84.75,3554029,3553029,22965249,0.1547,52700,10000
Pct20,none,<1.6,WR_DELTA,150,1114,973,141,87.34,1787530,1786530,9244456,0.1933,37800,10000
Pct20,none,<1.6,WR_DELTA,200,403,362,41,89.83,676939,675939,3285758,0.2057,30700,10000
Pct20,none,<1.6,WR_DELTA,250,128,116,12,90.62,104372,103372,545735,0.1894,12000,10000
Pct20,none,<1.6,WR_DELTA,300,31,30,1,96.77,6690,5690,17566,0.3239,678,1272
Pct20,none,<1.6,WR_DELTA,350,9,9,0,100.0,1833,833,2379,0.35,0,338
Pct20,none,<1.6,WR_DELTA,400,2,2,0,100.0,1155,155,409,0.3783,0,209
Pct20,none,<1.5,WR_DELTA,50,3520,2976,544,84.55,3437129,3436129,31141132,0.1103,76200,10000
Pct20,none,<1.5,WR_DELTA,100,1909,1666,243,87.27,2405003,2404003,16722233,0.1438,51300,10000
Pct20,none,<1.5,WR_DELTA,150,843,756,87,89.68,1186160,1185160,6716969,0.1764,33500,10000
Pct20,none,<1.5,WR_DELTA,200,318,291,27,91.51,432632,431632,2297514,0.1879,30700,10000
Pct20,none,<1.5,WR_DELTA,250,98,90,8,91.84,22473,21473,132771,0.1617,3512,4177
Pct20,none,<1.5,WR_DELTA,300,20,19,1,95.0,2158,1158,5760,0.201,331,410
Pct20,none,<1.5,WR_DELTA,350,6,6,0,100.0,1338,338,1305,0.2588,0,247
Pct20,none,<1.5,WR_DELTA,400,1,1,0,100.0,1044,44,200,0.22,0,200
Pct20,none,<1.4,WR_DELTA,50,2361,2049,312,86.79,1746566,1745566,20498486,0.0852,51300,10000
Pct20,none,<1.4,WR_DELTA,100,1305,1168,137,89.5,1315518,1314518,11115097,0.1183,40000,10000
Pct20,none,<1.4,WR_DELTA,150,587,539,48,91.82,638935,637935,4141274,0.154,23000,10000
Pct20,none,<1.4,WR_DELTA,200,213,199,14,93.43,163305,162305,939466,0.1728,10000,10000
Pct20,none,<1.4,WR_DELTA,250,71,67,4,94.37,7918,6918,45976,0.1505,1341,1472
Pct20,none,<1.4,WR_DELTA,300,16,15,1,93.75,1537,537,3866,0.1389,277,292
Pct20,none,<1.4,WR_DELTA,350,5,5,0,100.0,1234,234,1058,0.2212,0,229
