odds_cap,delta_threshold,total_trades,wins,losses,max_losing_streak,base_bet,final_bank,profit,roi,bankrupt
1.2,50,0,0,0,0,0,1000,,,0
1.2,100,0,0,0,0,0,1000,,,0
1.2,150,0,0,0,0,0,1000,,,0
1.2,200,0,0,0,0,0,1000,,,0
1.2,250,0,0,0,0,0,1000,,,0
1.2,300,0,0,0,0,0,1000,,,0
1.2,350,0,0,0,0,0,1000,,,0
1.2,400,0,0,0,0,0,1000,,,0
1.3,50,0,0,0,0,0,1000,,,0
1.3,100,0,0,0,0,0,1000,,,0
1.3,150,0,0,0,0,0,1000,,,0
1.3,200,0,0,0,0,0,1000,,,0
1.3,250,0,0,0,0,0,1000,,,0
1.3,300,0,0,0,0,0,1000,,,0
1.3,350,0,0,0,0,0,1000,,,0
1.3,400,0,0,0,0,0,1000,,,0
1.4,50,1,0,1,1,333,667,,,0
1.4,100,0,0,0,0,0,1000,,,0
1.4,150,0,0,0,0,0,1000,,,0
1.4,200,0,0,0,0,0,1000,,,0
1.4,250,0,0,0,0,0,1000,,,0
1.4,300,0,0,0,0,0,1000,,,0
1.4,350,0,0,0,0,0,1000,,,0
1.4,400,0,0,0,0,0,1000,,,0
1.5,50,1,0,1,1,333,667,,,0
1.5,100,0,0,0,0,0,1000,,,0
1.5,150,0,0,0,0,0,1000,,,0
1.5,200,0,0,0,0,0,1000,,,0
1.5,250,0,0,0,0,0,1000,,,0
1.5,300,0,0,0,0,0,1000,,,0
1.5,350,0,0,0,0,0,1000,,,0
1.5,400,0,0,0,0,0,1000,,,0
1.6,50,1,0,1,1,333,667,,,0
1.6,100,0,0,0,0,0,1000,,,0
1.6,150,0,0,0,0,0,1000,,,0
1.6,200,0,0,0,0,0,1000,,,0
1.6,250,0,0,0,0,0,1000,,,0
1.6,300,0,0,0,0,0,1000,,,0
1.6,350,0,0,0,0,0,1000,,,0
1.6,400,0,0,0,0,0,1000,,,0
1.7,50,1,0,1,1,333,667,,,0
1.7,100,0,0,0,0,0,1000,,,0
1.7,150,0,0,0,0,0,1000,,,0
1.7,200,0,0,0,0,0,1000,,,0
1.7,250,0,0,0,0,0,1000,,,0
1.7,300,0,0,0,0,0,1000,,,0
1.7,350,0,0,0,0,0,1000,,,0
1.7,400,0,0,0,0,0,1000,,,0
1.8,50,1,0,1,1,333,667,,,0
1.8,100,0,0,0,0,0,1000,,,0
1.8,150,0,0,0,0,0,1000,,,0
1.8,200,0,0,0,0,0,1000,,,0
1.8,250,0,0,0,0,0,1000,,,0
1.8,300,0,0,0,0,0,1000,,,0
1.8,350,0,0,0,0,0,1000,,,0
1.8,400,0,0,0,0,0,1000,,,0
1.9,50,1,0,1,1,333,667,,,0
1.9,100,0,0,0,0,0,1000,,,0
1.9,150,0,0,0,0,0,1000,,,0
1.9,200,0,0,0,0,0,1000,,,0
1.9,250,0,0,0,0,0,1000,,,0
1.9,300,0,0,0,0,0,1000,,,0
1.9,350,0,0,0,0,0,1000,,,0
1.9,400,0,0,0,0,0,1000,,,0
2.0,50,1,0,1,1,333,667,,,0
2.0,100,0,0,0,0,0,1000,,,0
2.0,150,0,0,0,0,0,1000,,,0
2.0,200,0,0,0,0,0,1000,,,0
2.0,250,0,0,0,0,0,1000,,,0
2.0,300,0,0,0,0,0,1000,,,0
2.0,350,0,0,0,0,0,1000,,,0
2.0,400,0,0,0,0,0,1000,,,0
2.1,50,1,0,1,1,333,667,,,0
2.1,100,0,0,0,0,0,1000,,,0
2.1,150,0,0,0,0,0,1000,,,0
2.1,200,0,0,0,0,0,1000,,,0
2.1,250,0,0,0,0,0,1000,,,0
2.1,300,0,0,0,0,0,1000,,,0
2.1,350,0,0,0,0,0,1000,,,0
2.1,400,0,0,0,0,0,1000,,,0
2.2,50,1,0,1,1,333,667,,,0
2.2,100,0,0,0,0,0,1000,,,0
2.2,150,0,0,0,0,0,1000,,,0
2.2,200,0,0,0,0,0,1000,,,0
2.2,250,0,0,0,0,0,1000,,,0
2.2,300,0,0,0,0,0,1000,,,0
2.2,350,0,0,0,0,0,1000,,,0
2.2,400,0,0,0,0,0,1000,,,0
2.3,50,1,0,1,1,333,667,,,0
2.3,100,0,0,0,0,0,1000,,,0
2.3,150,0,0,0,0,0,1000,,,0
2.3,200,0,0,0,0,0,1000,,,0
2.3,250,0,0,0,0,0,1000,,,0
2.3,300,0,0,0,0,0,1000,,,0
2.3,350,0,0,0,0,0,1000,,,0
2.3,400,0,0,0,0,0,1000,,,0
2.4,50,1,0,1,1,333,667,,,0
2.4,100,0,0,0,0,0,1000,,,0
2.4,150,0,0,0,0,0,1000,,,0
2.4,200,0,0,0,0,0,1000,,,0
2.4,250,0,0,0,0,0,1000,,,0
2.4,300,0,0,0,0,0,1000,,,0
2.4,350,0,0,0,0,0,1000,,,0
2.4,400,0,0,0,0,0,1000,,,0
2.5,50,1,0,1,1,333,667,,,0
2.5,100,0,0,0,0,0,1000,,,0
2.5,150,0,0,0,0,0,1000,,,0
2.5,200,0,0,0,0,0,1000,,,0
2.5,250,0,0,0,0,0,1000,,,0
2.5,300,0,0,0,0,0,1000,,,0
2.5,350,0,0,0,0,0,1000,,,0
2.5,400,0,0,0,0,0,1000,,,0
2.6,50,1,0,1,1,333,667,,,0
2.6,100,0,0,0,0,0,1000,,,0
2.6,150,0,0,0,0,0,1000,,,0
2.6,200,0,0,0,0,0,1000,,,0
2.6,250,0,0,0,0,0,1000,,,0
2.6,300,0,0,0,0,0,1000,,,0
2.6,350,0,0,0,0,0,1000,,,0
2.6,400,0,0,0,0,0,1000,,,0
2.7,50,1,0,1,1,333,667,,,0
2.7,100,0,0,0,0,0,1000,,,0
2.7,150,0,0,0,0,0,1000,,,0
2.7,200,0,0,0,0,0,1000,,,0
2.7,250,0,0,0,0,0,1000,,,0
2.7,300,0,0,0,0,0,1000,,,0
2.7,350,0,0,0,0,0,1000,,,0
2.7,400,0,0,0,0,0,1000,,,0
2.8,50,1,0,1,1,333,667,,,0
