strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,WR_DELTA,5,47,21,26,44.68,0,-1000,4618,-0.2165,1285,100
Flat100,none,any,WR_DELTA,10,40,17,23,42.50,0,-1000,3957,-0.2527,1353,100
Flat100,none,any,WR_DELTA,15,58,29,29,50.00,0,-1000,5248,-0.1905,1247,100
Flat100,none,any,WR_DELTA,20,73,36,37,49.32,0,-1000,7278,-0.1374,1240,100
Flat100,none,any,WR_DELTA,25,19,5,14,26.32,0,-1000,1810,-0.5525,1000,100
Flat100,none,any,WR_DELTA,30,31,14,17,45.16,662,-338,3100,-0.1090,845,100
Flat100,none,any,WR_DELTA,35,11,6,5,54.55,1044,44,1100,0.0400,300,100
Flat100,none,any,WR_DELTA,40,8,3,5,37.50,761,-239,800,-0.2988,408,100
Flat100,none,any,WR_DELTA,45,3,1,2,33.33,832,-168,300,-0.5600,200,100
Flat100,none,any,WR_DELTA,50,1,0,1,0.00,900,-100,100,-1.0000,100,100
Flat100,none,any,WR_DELTA,75,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,100,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,125,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,150,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,200,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,250,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,300,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,350,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,400,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,5,25,6,19,24.00,0,-1000,2448,-0.4085,1256,100
