odds_cap,delta_threshold,total_trades,wins,losses,max_losing_streak,base_bet,final_bank,profit,roi,bankrupt
1.2,50,605,585,20,2,142,8181,,,0
1.2,100,379,369,10,1,333,12768,,,0
1.2,150,231,227,4,1,333,8862,,,0
1.2,200,122,121,1,1,333,5279,,,0
1.2,250,62,61,1,1,333,3008,,,0
1.2,300,21,20,1,1,333,1383,,,0
1.2,350,7,6,1,1,333,920,,,0
1.2,400,4,4,0,0,1000,1350,,,0
1.3,50,1320,1229,91,2,142,22111,,,0
1.3,100,818,778,40,2,142,16878,,,0
1.3,150,475,462,13,1,333,25749,,,0
1.3,200,238,235,3,1,333,14124,,,0
1.3,250,113,111,2,1,333,6837,,,0
1.3,300,43,42,1,1,333,3291,,,0
1.3,350,14,13,1,1,333,1506,,,0
1.3,400,5,5,0,0,1000,1570,,,0
1.4,50,2279,2078,201,2,142,51619,,,0
1.4,100,1407,1317,90,2,142,37488,,,0
1.4,150,806,774,32,2,142,24627,,,0
1.4,200,392,383,9,1,333,29475,,,0
1.4,250,185,181,4,1,333,14253,,,0
1.4,300,70,69,1,1,333,6351,,,0
1.4,350,21,20,1,1,333,2255,,,0
1.4,400,6,6,0,0,1000,1900,,,0
1.5,50,3345,2990,355,3,66,43920,,,0
1.5,100,2061,1910,151,3,66,31982,,,0
1.5,150,1147,1093,54,2,142,42464,,,0
1.5,200,549,532,17,1,333,49638,,,0
1.5,250,246,242,4,1,333,23035,,,0
1.5,300,93,92,1,1,333,9665,,,0
1.5,350,29,28,1,1,333,3441,,,0
1.5,400,7,7,0,0,1000,2350,,,0
1.6,50,4386,3847,539,3,66,66180,,,0
1.6,100,2695,2459,236,3,66,48131,,,0
1.6,150,1484,1402,82,2,142,64074,,,0
1.6,200,705,681,24,1,333,75312,,,0
1.6,250,301,295,6,1,333,32042,,,0
1.6,300,113,112,1,1,333,13228,,,0
1.6,350,36,35,1,1,333,4666,,,0
1.6,400,10,10,0,0,1000,3930,,,0
1.7,50,5353,4615,738,5,15,21218,,,0
1.7,100,3262,2930,332,3,66,64631,,,0
1.7,150,1761,1645,116,2,142,83246,,,0
1.7,200,823,787,36,2,142,41091,,,0
1.7,250,346,339,7,1,333,41273,,,0
1.7,300,122,121,1,1,333,15169,,,0
1.7,350,40,39,1,1,333,5492,,,0
1.7,400,12,12,0,0,1000,5140,,,0
1.8,50,6093,5191,902,5,15,26281,,,0
1.8,100,3689,3288,401,3,66,79990,,,0
1.8,150,1971,1829,142,2,142,100837,,,0
1.8,200,918,870,48,2,142,49009,,,0
1.8,250,385,376,9,1,333,50224,,,0
1.8,300,132,131,1,1,333,17687,,,0
1.8,350,41,40,1,1,333,5752,,,0
1.8,400,12,12,0,0,1000,5140,,,0
