strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Pct10,none,<1.2,WR_DELTA,50,605,585,20,96.69,125118,124118,1552291,0.0800,26400,10000
Pct10,none,<1.2,WR_DELTA,100,379,369,10,97.36,28380,27380,304278,0.0900,2872,2872
Pct10,none,<1.2,WR_DELTA,150,231,227,4,98.27,9696,8696,86980,0.1000,1030,1030
Pct10,none,<1.2,WR_DELTA,200,122,121,1,99.18,3519,2519,23360,0.1078,165,346
Pct10,none,<1.2,WR_DELTA,250,62,61,1,98.39,1775,775,7981,0.0971,123,175
Pct10,none,<1.2,WR_DELTA,300,21,20,1,95.24,1099,99,2205,0.0449,111,111
Pct10,none,<1.2,WR_DELTA,350,7,6,1,85.71,957,-43,703,-0.0609,105,105
Pct10,none,<1.2,WR_DELTA,400,4,4,0,100.00,1035,35,408,0.0868,0,103
Pct10,none,<1.3,WR_DELTA,50,1320,1229,91,93.11,994705,993705,10001689,0.0994,32700,10000
Pct10,none,<1.3,WR_DELTA,100,818,778,40,95.11,676448,675448,5678022,0.1190,24900,10000
Pct10,none,<1.3,WR_DELTA,150,475,462,13,97.26,349644,348644,2410575,0.1446,10000,10000
Pct10,none,<1.3,WR_DELTA,200,238,235,3,98.74,45742,44742,270021,0.1657,3618,4502
Pct10,none,<1.3,WR_DELTA,250,113,111,2,98.23,5395,4395,27447,0.1601,209,531
Pct10,none,<1.3,WR_DELTA,300,43,42,1,97.67,1910,910,5939,0.1533,145,188
Pct10,none,<1.3,WR_DELTA,350,14,13,1,92.86,1128,128,1474,0.0867,112,112
Pct10,none,<1.3,WR_DELTA,400,5,5,0,100.00,1058,58,514,0.1133,0,106
Pct10,none,<1.4,WR_DELTA,50,2279,2078,201,91.18,2785535,2784535,20222916,0.1377,29500,10000
Pct10,none,<1.4,WR_DELTA,100,1407,1317,90,93.60,2004743,2003743,12003818,0.1669,21800,10000
Pct10,none,<1.4,WR_DELTA,150,806,774,32,96.03,1224892,1223892,6401899,0.1912,20000,10000
Pct10,none,<1.4,WR_DELTA,200,392,383,9,97.70,464675,463675,2238754,0.2071,10000,10000
Pct10,none,<1.4,WR_DELTA,250,185,181,4,97.84,45856,44856,207439,0.2162,2529,4513
Pct10,none,<1.4,WR_DELTA,300,70,69,1,98.57,4684,3684,16343,0.2254,238,461
Pct10,none,<1.4,WR_DELTA,350,21,20,1,95.24,1407,407,2534,0.1608,135,137
Pct10,none,<1.4,WR_DELTA,400,6,6,0,100.00,1093,93,623,0.1495,0,109
Pct10,none,<1.5,WR_DELTA,50,3345,2990,355,89.39,5255916,5254916,31732932,0.1656,52800,10000
Pct10,none,<1.5,WR_DELTA,100,2061,1910,151,92.67,3981539,3980539,18914715,0.2104,44900,10000
Pct10,none,<1.5,WR_DELTA,150,1147,1093,54,95.29,2399484,2398484,10159380,0.2361,29200,10000
Pct10,none,<1.5,WR_DELTA,200,549,532,17,96.90,1032494,1031494,4207579,0.2452,15800,10000
Pct10,none,<1.5,WR_DELTA,250,246,242,4,98.37,284064,283064,1009988,0.2803,10000,10000
Pct10,none,<1.5,WR_DELTA,300,93,92,1,98.92,12406,11406,41295,0.2762,433,1221
Pct10,none,<1.5,WR_DELTA,350,29,28,1,96.55,1994,994,4219,0.2355,169,194
Pct10,none,<1.5,WR_DELTA,400,7,7,0,100.00,1142,142,748,0.1902,0,114
Pct10,none,<1.6,WR_DELTA,50,4386,3847,539,87.71,8025382,8024382,42422532,0.1892,43000,10000
Pct10,none,<1.6,WR_DELTA,100,2695,2459,236,91.24,6085112,6084112,25571635,0.2379,49800,10000
Pct10,none,<1.6,WR_DELTA,150,1484,1402,82,94.47,3779100,3778100,13651368,0.2768,23400,10000
Pct10,none,<1.6,WR_DELTA,200,705,681,24,96.60,1763379,1762379,6005292,0.2935,15800,10000
Pct10,none,<1.6,WR_DELTA,250,301,295,6,98.01,546374,545374,1825956,0.2987,10000,10000
Pct10,none,<1.6,WR_DELTA,300,113,112,1,99.12,35180,34180,107783,0.3171,855,3463
Pct10,none,<1.6,WR_DELTA,350,36,35,1,97.22,2854,1854,6416,0.2889,217,278
Pct10,none,<1.6,WR_DELTA,400,10,10,0,100.00,1332,332,1143,0.2909,0,133
Pct10,none,<1.7,WR_DELTA,50,5353,4615,738,86.21,10950102,10949102,52006924,0.2105,66600,10000
Pct10,none,<1.7,WR_DELTA,100,3262,2930,332,89.82,8147164,8146164,31328768,0.2600,73300,10000
Pct10,none,<1.7,WR_DELTA,150,1761,1645,116,93.41,4996444,4995444,16479577,0.3031,20000,10000
Pct10,none,<1.7,WR_DELTA,200,823,787,36,95.63,2317554,2316554,7198134,0.3218,20000,10000
Pct10,none,<1.7,WR_DELTA,250,346,339,7,97.98,818189,817189,2461564,0.3320,10000,10000
Pct10,none,<1.7,WR_DELTA,300,122,121,1,99.18,61889,60889,171739,0.3545,1033,6091
Pct10,none,<1.7,WR_DELTA,350,40,39,1,97.50,3630,2630,7941,0.3312,230,341
Pct10,none,<1.7,WR_DELTA,400,12,12,0,100.00,1499,499,1453,0.3432,0,141
Pct10,none,<1.8,WR_DELTA,50,6093,5191,902,85.20,13566050,13565050,59506606,0.2280,70300,10000
