strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,GPM,100,10217,5216,5001,51.05,-83683,-84683,1021700,-0.0829,87810,100
Flat100,none,any,GPM,200,5336,2716,2620,50.90,-46576,-47576,533600,-0.0892,49568,100
Flat100,none,any,GPM,300,2399,1242,1157,51.77,-16177,-17177,239900,-0.0716,20987,100
Flat100,none,any,GPM,400,933,498,435,53.38,-3175,-4175,93300,-0.0447,6988,100
Flat100,none,any,GPM,500,320,173,147,54.06,-1386,-2386,32000,-0.0746,3385,100
Flat100,none,any,XPM,100,9959,4961,4998,49.81,-93582,-94582,995900,-0.0950,95077,100
Flat100,none,any,XPM,200,4917,2429,2488,49.40,-52114,-53114,491700,-0.1080,53452,100
Flat100,none,any,XPM,300,2023,995,1028,49.18,-23146,-24146,202300,-0.1194,25459,100
Flat100,none,any,XPM,400,720,382,338,53.06,-2084,-3084,72000,-0.0428,4748,100
Flat100,none,any,XPM,500,247,134,113,54.25,613,-387,24700,-0.0157,2367,100
Flat100,none,any,HERO_DAMAGE,5000,11313,5429,5884,47.99,-130111,-131111,1131300,-0.1159,132222,100
Flat100,none,any,HERO_DAMAGE,10000,6889,3279,3610,47.60,-80278,-81278,688900,-0.1180,83283,100
Flat100,none,any,HERO_DAMAGE,15000,3722,1730,1992,46.48,-49377,-50377,372200,-0.1353,51170,100
Flat100,none,any,HERO_DAMAGE,20000,1788,821,967,45.92,-23522,-24522,178800,-0.1371,25217,100
Flat100,none,any,HERO_DAMAGE,25000,768,350,418,45.57,-9067,-10067,76800,-0.1311,11243,100
Flat100,none,any,TOWER_DAMAGE,5000,6170,3198,2972,51.83,-48709,-49709,617000,-0.0806,50454,100
Flat100,none,any,TOWER_DAMAGE,10000,1326,674,652,50.83,-12712,-13712,132600,-0.1034,13971,100
Flat100,none,any,TOWER_DAMAGE,15000,151,71,80,47.02,-1205,-2205,15100,-0.1460,2566,100
