strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,WR_DELTA,5,15926,11108,4818,69.75,418849,417849,1592600,0.2624,1238,100
Flat100,none,any,WR_DELTA,10,15338,10784,4554,70.31,416833,415833,1533800,0.2711,1155,100
Flat100,none,any,WR_DELTA,15,14763,10460,4303,70.85,413616,412616,1476300,0.2795,1055,100
Flat100,none,any,WR_DELTA,20,14172,10150,4022,71.62,417457,416457,1417200,0.2939,1008,100
Flat100,none,any,WR_DELTA,25,13646,9858,3788,72.24,416416,415416,1364600,0.3044,941,100
Flat100,none,any,WR_DELTA,30,13086,9555,3531,73.02,416288,415288,1308600,0.3174,1150,100
Flat100,none,any,WR_DELTA,35,12556,9234,3322,73.54,412648,411648,1255600,0.3278,877,100
Flat100,none,any,WR_DELTA,40,11986,8917,3069,74.40,412013,411013,1198600,0.3429,877,100
Flat100,none,any,WR_DELTA,45,11412,8572,2840,75.11,407206,406206,1141200,0.3559,777,100
Flat100,none,any,WR_DELTA,50,10886,8240,2646,75.69,397993,396993,1088600,0.3647,782,100
Flat100,none,any,WR_DELTA,75,8464,6684,1780,78.97,358431,357431,846400,0.4223,627,100
Flat100,none,any,WR_DELTA,100,6308,5174,1134,82.02,299129,298129,630800,0.4726,645,100
Flat100,none,any,WR_DELTA,125,4623,3927,696,84.94,242298,241298,462300,0.5220,803,100
Flat100,none,any,WR_DELTA,150,3271,2869,402,87.71,187290,186290,327100,0.5695,403,100
Flat100,none,any,WR_DELTA,200,1459,1335,124,91.50,90915,89915,145900,0.6163,309,100
Flat100,none,any,WR_DELTA,250,580,559,21,96.38,41745,40745,58000,0.7025,200,100
Flat100,none,any,WR_DELTA,300,209,205,4,98.09,15748,14748,20900,0.7056,100,100
Flat100,none,any,WR_DELTA,350,67,65,2,97.01,5725,4725,6700,0.7052,100,100
Flat100,none,any,WR_DELTA,400,21,20,1,95.24,2403,1403,2100,0.6681,100,100
