strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,WR_DELTA,5,15876,10968,4908,69.09,411601,410601,1587600,0.2586,1071,100
Flat100,none,any,WR_DELTA,10,15304,10685,4619,69.82,416339,415339,1530400,0.2714,1019,100
Flat100,none,any,WR_DELTA,15,14718,10375,4343,70.49,418797,417797,1471800,0.2839,908,100
Flat100,none,any,WR_DELTA,20,14161,10062,4099,71.05,416449,415449,1416100,0.2934,1005,100
Flat100,none,any,WR_DELTA,25,13584,9729,3855,71.62,413230,412230,1358400,0.3035,905,100
Flat100,none,any,WR_DELTA,30,13044,9417,3627,72.19,410339,409339,1304400,0.3138,877,100
Flat100,none,any,WR_DELTA,35,12469,9084,3385,72.85,406986,405986,1246900,0.3256,877,100
Flat100,none,any,WR_DELTA,40,11885,8750,3135,73.62,405289,404289,1188500,0.3402,931,100
Flat100,none,any,WR_DELTA,45,11352,8440,2912,74.35,402531,401531,1135200,0.3537,931,100
Flat100,none,any,WR_DELTA,50,10817,8094,2723,74.83,393112,392112,1081700,0.3625,856,100
Flat100,none,any,WR_DELTA,75,8369,6513,1856,77.82,351512,350512,836900,0.4188,741,100
Flat100,none,any,WR_DELTA,100,6167,5004,1163,81.14,295026,294026,616700,0.4768,848,100
Flat100,none,any,WR_DELTA,125,4457,3765,692,84.47,237894,236894,445700,0.5315,475,100
Flat100,none,any,WR_DELTA,150,3052,2642,410,86.57,177159,176159,305200,0.5772,509,100
Flat100,none,any,WR_DELTA,200,1300,1189,111,91.46,89001,88001,130000,0.6769,267,100
Flat100,none,any,WR_DELTA,250,527,503,24,95.45,39589,38589,52700,0.7322,200,100
Flat100,none,any,WR_DELTA,300,193,190,3,98.45,16122,15122,19300,0.7835,100,100
Flat100,none,any,WR_DELTA,350,66,65,1,98.48,6363,5363,6600,0.8126,100,100
Flat100,none,any,WR_DELTA,400,25,24,1,96.00,2335,1335,2500,0.5340,100,100
Flat100,none,underdog,WR_DELTA,5,6640,3643,2997,54.86,260480,259480,664000,0.3908,1308,100
Flat100,none,underdog,WR_DELTA,10,6372,3547,2825,55.67,263011,262011,637200,0.4112,1298,100
Flat100,none,underdog,WR_DELTA,15,6110,3452,2658,56.50,264969,263969,611000,0.4320,998,100
Flat100,none,underdog,WR_DELTA,20,5846,3338,2508,57.10,263143,262143,584600,0.4484,1014,100
Flat100,none,underdog,WR_DELTA,25,5583,3232,2351,57.89,262513,261513,558300,0.4684,1014,100
Flat100,none,underdog,WR_DELTA,30,5342,3127,2215,58.54,260484,259484,534200,0.4857,1014,100
Flat100,none,underdog,WR_DELTA,35,5074,3015,2059,59.42,259461,258461,507400,0.5094,882,100
Flat100,none,underdog,WR_DELTA,40,4816,2909,1907,60.40,258946,257946,481600,0.5356,982,100
Flat100,none,underdog,WR_DELTA,45,4581,2809,1772,61.32,257514,256514,458100,0.5600,900,100
Flat100,none,underdog,WR_DELTA,50,4344,2683,1661,61.76,250724,249724,434400,0.5749,965,100
Flat100,none,underdog,WR_DELTA,75,3267,2149,1118,65.78,226369,225369,326700,0.6898,642,100
Flat100,none,underdog,WR_DELTA,100,2321,1632,689,70.31,190613,189613,232100,0.8169,700,100
Flat100,none,underdog,WR_DELTA,125,1635,1219,416,74.56,152420,151420,163500,0.9261,500,100
Flat100,none,underdog,WR_DELTA,150,1106,861,245,77.85,114617,113617,110600,1.0273,500,100
Flat100,none,underdog,WR_DELTA,200,465,397,68,85.38,59899,58899,46500,1.2666,300,100
Flat100,none,underdog,WR_DELTA,250,180,167,13,92.78,27578,26578,18000,1.4766,100,100
Flat100,none,underdog,WR_DELTA,300,64,62,2,96.88,11709,10709,6400,1.6733,100,100
Flat100,none,underdog,WR_DELTA,350,30,29,1,96.67,5199,4199,3000,1.3997,100,100
Flat100,none,underdog,WR_DELTA,400,7,6,1,85.71,1876,876,700,1.2514,100,100
Flat100,none,favorite,WR_DELTA,5,8852,7078,1774,79.96,144382,143382,885200,0.1620,989,100
Flat100,none,favorite,WR_DELTA,10,8566,6904,1662,80.60,147217,146217,856600,0.1707,827,100
Flat100,none,favorite,WR_DELTA,15,8257,6698,1559,81.12,147908,146908,825700,0.1779,776,100
Flat100,none,favorite,WR_DELTA,20,7980,6507,1473,81.54,147274,146274,798000,0.1833,766,100
Flat100,none,favorite,WR_DELTA,25,7682,6290,1392,81.88,144957,143957,768200,0.1874,800,100
Flat100,none,favorite,WR_DELTA,30,7394,6085,1309,82.30,143375,142375,739400,0.1926,700,100
Flat100,none,favorite,WR_DELTA,35,7100,5868,1232,82.65,140492,139492,710000,0.1965,670,100
Flat100,none,favorite,WR_DELTA,40,6789,5649,1140,83.21,139493,138493,678900,0.2040,741,100
Flat100,none,favorite,WR_DELTA,45,6503,5446,1057,83.75,138276,137276,650300,0.2111,741,100
Flat100,none,favorite,WR_DELTA,50,6216,5233,983,84.19,135859,134859,621600,0.2170,741,100
Flat100,none,favorite,WR_DELTA,75,4902,4218,684,86.05,118884,117884,490200,0.2405,600,100
Flat100,none,favorite,WR_DELTA,100,3698,3262,436,88.21,99673,98673,369800,0.2668,701,100
Flat100,none,favorite,WR_DELTA,125,2724,2467,257,90.57,81516,80516,272400,0.2956,400,100
Flat100,none,favorite,WR_DELTA,150,1879,1723,156,91.70,59399,58399,187900,0.3108,403,100
Flat100,none,favorite,WR_DELTA,200,814,773,41,94.96,28648,27648,81400,0.3397,200,100
Flat100,none,favorite,WR_DELTA,250,337,327,10,97.03,12330,11330,33700,0.3362,200,100
Flat100,none,favorite,WR_DELTA,300,125,124,1,99.20,5067,4067,12500,0.3254,100,100
Flat100,none,favorite,WR_DELTA,350,35,35,0,100.00,2077,1077,3500,0.3077,0,100
Flat100,none,favorite,WR_DELTA,400,18,18,0,100.00,1459,459,1800,0.2550,0,100
Bankroll5pct,none,any,WR_DELTA,5,15876,10968,4908,69.09,40105020,40104020,156042226,0.2570,107100,10000
Bankroll5pct,none,any,WR_DELTA,10,15304,10685,4619,69.82,40582586,40581586,150307144,0.2700,101900,10000
Bankroll5pct,none,any,WR_DELTA,15,14718,10375,4343,70.49,40839147,40838147,144749902,0.2821,90800,10000
Bankroll5pct,none,any,WR_DELTA,20,14161,10062,4099,71.05,40602908,40601908,139205669,0.2917,100500,10000
Bankroll5pct,none,any,WR_DELTA,25,13584,9729,3855,71.62,40282829,40281829,133400387,0.3020,90500,10000
Bankroll5pct,none,any,WR_DELTA,30,13044,9417,3627,72.19,39997766,39996766,128160623,0.3121,87700,10000
Bankroll5pct,none,any,WR_DELTA,35,12469,9084,3385,72.85,39665583,39664583,122554547,0.3236,87700,10000
Bankroll5pct,none,any,WR_DELTA,40,11885,8750,3135,73.62,39500018,39499018,116676766,0.3385,93100,10000
Bankroll5pct,none,any,WR_DELTA,45,11352,8440,2912,74.35,39225556,39224556,111424257,0.3520,93100,10000
Bankroll5pct,none,any,WR_DELTA,50,10817,8094,2723,74.83,38285888,38284888,106151973,0.3607,85600,10000
Bankroll5pct,none,any,WR_DELTA,75,8369,6513,1856,77.82,34132541,34131541,81826280,0.4171,74100,10000
Bankroll5pct,none,any,WR_DELTA,100,6167,5004,1163,81.14,28485101,28484101,59893436,0.4756,84800,10000
